CITY,PCT,PRECINCT NAME,CONGRESS,SENATE DIST,HOUSE DIST,COUNTY COMM,SCHOOL BOARD,FIRE DIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECIAL DIST,,
,01.1,Baker,1,2,1,3,4,BA/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02.1,Blackman,1,2,1,3,4,ES/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,03.1,Milligan,1,2,1,3,4,HO/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,03.2,,1,2,1,3,4,N4/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,04.1,Holt,1,2,1,3,4,HO/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,05.1,Laurel Hill,1,2,5,1,4,AL/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LH/5,05.2,,1,2,5,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,06.1,Garden City,1,2,5,1,4,AL/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,06.2,,1,2,5,1,4,DO/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,06.3,,1,2,5,1,4,N2/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,06.4,Heritage Plantation CDD,1,2,5,1,4,N2/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HP,,
,07.1,Dorcas,1,2,5,1,4,AL/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,07.2,,1,2,5,1,4,DO/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,08.1,Honey Creek,1,2,5,1,4,DO/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,08.2,,1,2,5,1,4,N1/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV/2,08.3,,1,2,5,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09.1,Yellow River,1,2,1,1,4,N4/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV/2,09.2,,1,2,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.1,West Wright,1,4,4,2,3,OC/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.2,,1,4,4,3,3,OC/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.3,,1,4,4,4,3,OC/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11.1,East Crestview Courthouse,1,2,5,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11.2,,1,2,5,1,4,N3/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV/2,11.3,,1,2,5,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12.1,West Crestview,1,2,5,1,4,N4/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV/2,12.2,,1,2,5,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13.1,North Crestview,1,2,1,1,4,N2/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13.2,,1,2,5,1,4,N2/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV/2,13.3,,1,2,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV/2,13.4,,1,2,5,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14.1,West Niceville,1,2,4,5,5,EN/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV/7,14.2,,1,2,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV/7,14.3,,1,2,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV/7,14.4,,1,4,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV/7,14.5,,1,4,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
